"Strain","Pro_mCh","Promoter","mCherry","Ter_length","Terminator","Length","TargetID","BioRep","ExpRep","Median_deltaCq","RNA_Abundance","na.rm","remove"
"pSRO9-mCherry-tSRO9_WT-200bp","pSRO9-mCherry","pSRO9","mCherry","tSRO9_WT-200bp","tSRO9_WT","200bp","SRO9-ORF","BioRep1","1",2.78,0.145591698308557,FALSE,FALSE
"pSRO9-mCherry-tSRO9_WT-200bp","pSRO9-mCherry","pSRO9","mCherry","tSRO9_WT-200bp","tSRO9_WT","200bp","SRO9-ORF","BioRep2","1",2.995,0.125433968563688,FALSE,FALSE
"pSRO9-mCherry-tSRO9_WT-200bp","pSRO9-mCherry","pSRO9","mCherry","tSRO9_WT-200bp","tSRO9_WT","200bp","SRO9-ORF","BioRep3","1",2.95,0.129408115480172,FALSE,FALSE
"pSRO9-mCherry-tSRO9_WT-200bp","pSRO9-mCherry","pSRO9","mCherry","tSRO9_WT-200bp","tSRO9_WT","200bp","SRO9-ORF","BioRep4","2",2.475,0.179866697501353,FALSE,FALSE
"pSRO9-mCherry-tSRO9_WT-200bp","pSRO9-mCherry","pSRO9","mCherry","tSRO9_WT-200bp","tSRO9_WT","200bp","SRO9-ORF","BioRep5","2",3.155,0.112266546610492,FALSE,FALSE
"pSRO9-mCherry-tSRO9_WT-200bp","pSRO9-mCherry","pSRO9","mCherry","tSRO9_WT-200bp","tSRO9_WT","200bp","SRO9-ORF","BioRep6","2",2.74,0.149684838077366,FALSE,FALSE
"pSRO9-mCherry-tSRO9_WT-200bp","pSRO9-mCherry","pSRO9","mCherry","tSRO9_WT-200bp","tSRO9_WT","200bp","URA3-ORF","BioRep1","1",0.779999999999999,0.582366793234228,FALSE,FALSE
"pSRO9-mCherry-tSRO9_WT-200bp","pSRO9-mCherry","pSRO9","mCherry","tSRO9_WT-200bp","tSRO9_WT","200bp","URA3-ORF","BioRep2","1",0.865,0.549046406893525,FALSE,FALSE
"pSRO9-mCherry-tSRO9_WT-200bp","pSRO9-mCherry","pSRO9","mCherry","tSRO9_WT-200bp","tSRO9_WT","200bp","URA3-ORF","BioRep3","1",0.859999999999999,0.550952557938306,FALSE,FALSE
"pSRO9-mCherry-tSRO9_WT-200bp","pSRO9-mCherry","pSRO9","mCherry","tSRO9_WT-200bp","tSRO9_WT","200bp","URA3-ORF","BioRep4","2",-0.414999999999999,1.3332986770912,FALSE,FALSE
