"Strain","Pro_mCh","Promoter","mCherry","TargetID","Ter_mod","Terminator","Construct","BioRep","ExpRep","Median_deltaCq","RNA_Abundance","na.rm","remove"
"pPGK1-mCherry-tRPS3_modD","pPGK1-mCherry","pPGK1","mCherry","mCh-7","tRPS3_modD","tRPS3","modD","BioRep3","1",-1.15,2.21913894413569,FALSE,FALSE
"pPGK1-mCherry-tRPS3_modD","pPGK1-mCherry","pPGK1","mCherry","mCh-7","tRPS3_modD","tRPS3","modD","BioRep4","2",-1.305,2.47083727425386,FALSE,FALSE
"pPGK1-mCherry-tRPS3_modD","pPGK1-mCherry","pPGK1","mCherry","mCh-7","tRPS3_modD","tRPS3","modD","BioRep5","2",-2.135,4.3923712551482,FALSE,FALSE
"pPGK1-mCherry-tRPS3_modD","pPGK1-mCherry","pPGK1","mCherry","mCh-7","tRPS3_modD","tRPS3","modD","BioRep6","2",-1.335,2.5227548176625,FALSE,FALSE
"pPGK1-mCherry-tRPS3_modD","pPGK1-mCherry","pPGK1","mCherry","PGK1-ORF","tRPS3_modD","tRPS3","modD","BioRep1","1",-0.140000000000001,1.10190511587661,FALSE,FALSE
"pPGK1-mCherry-tRPS3_modD","pPGK1-mCherry","pPGK1","mCherry","PGK1-ORF","tRPS3_modD","tRPS3","modD","BioRep2","1",-0.0599999999999987,1.04246576084112,FALSE,FALSE
"pPGK1-mCherry-tRPS3_modD","pPGK1-mCherry","pPGK1","mCherry","PGK1-ORF","tRPS3_modD","tRPS3","modD","BioRep3","1",-0.00999999999999979,1.00695555005672,FALSE,FALSE
"pPGK1-mCherry-tRPS3_modD","pPGK1-mCherry","pPGK1","mCherry","PGK1-ORF","tRPS3_modD","tRPS3","modD","BioRep4","2",-0.105,1.07549439045738,FALSE,FALSE
"pPGK1-mCherry-tRPS3_modD","pPGK1-mCherry","pPGK1","mCherry","PGK1-ORF","tRPS3_modD","tRPS3","modD","BioRep5","2",-0.484999999999999,1.3995858655952,FALSE,FALSE
"pPGK1-mCherry-tRPS3_modD","pPGK1-mCherry","pPGK1","mCherry","PGK1-ORF","tRPS3_modD","tRPS3","modD","BioRep6","2",-0.0750000000000011,1.05336103595484,FALSE,FALSE
"pPGK1-mCherry-tRPS3_modD","pPGK1-mCherry","pPGK1","mCherry","RPS3-ORF","tRPS3_modD","tRPS3","modD","BioRep1","1",0.0800000000000001,0.946057646725596,FALSE,FALSE
"pPGK1-mCherry-tRPS3_modD","pPGK1-mCherry","pPGK1","mCherry","RPS3-ORF","tRPS3_modD","tRPS3","modD","BioRep2","1",0.0600000000000005,0.959264119325264,FALSE,FALSE
"pPGK1-mCherry-tRPS3_modD","pPGK1-mCherry","pPGK1","mCherry","RPS3-ORF","tRPS3_modD","tRPS3","modD","BioRep3","1",0.0299999999999994,0.979420297586927,FALSE,FALSE
"pPGK1-mCherry-tRPS3_modD","pPGK1-mCherry","pPGK1","mCherry","RPS3-ORF","tRPS3_modD","tRPS3","modD","BioRep4","2",0.145,0.904379377561088,FALSE,FALSE
"pPGK1-mCherry-tRPS3_modD","pPGK1-mCherry","pPGK1","mCherry","RPS3-ORF","tRPS3_modD","tRPS3","modD","BioRep5","2",0.0449999999999999,0.969289816935065,FALSE,FALSE
"pPGK1-mCherry-tRPS3_modD","pPGK1-mCherry","pPGK1","mCherry","RPS3-ORF","tRPS3_modD","tRPS3","modD","BioRep6","2",0.114999999999998,0.923382310729396,FALSE,FALSE
"pPGK1-mCherry-tRPS3_modD","pPGK1-mCherry","pPGK1","mCherry","URA3-ORF","tRPS3_modD","tRPS3","modD","BioRep1","1",0.73,0.60290391384538,FALSE,FALSE
"pPGK1-mCherry-tRPS3_modD","pPGK1-mCherry","pPGK1","mCherry","URA3-ORF","tRPS3_modD","tRPS3","modD","BioRep2","1",0.370000000000001,0.773782496771194,FALSE,FALSE
"pPGK1-mCherry-tRPS3_modD","pPGK1-mCherry","pPGK1","mCherry","URA3-ORF","tRPS3_modD","tRPS3","modD","BioRep3","1",0.359999999999999,0.7791645796605,FALSE,FALSE
"pPGK1-mCherry-tRPS3_modD","pPGK1-mCherry","pPGK1","mCherry","URA3-ORF","tRPS3_modD","tRPS3","modD","BioRep4","2",1.065,0.477972658796871,FALSE,FALSE
"pPGK1-mCherry-tRPS3_modD","pPGK1-mCherry","pPGK1","mCherry","URA3-ORF","tRPS3_modD","tRPS3","modD","BioRep5","2",0.525,0.694959109921168,FALSE,FALSE
"pPGK1-mCherry-tRPS3_modD","pPGK1-mCherry","pPGK1","mCherry","URA3-ORF","tRPS3_modD","tRPS3","modD","BioRep6","2",1.065,0.477972658796871,FALSE,FALSE
"pPGK1-mCherry-tRPS3_modE","pPGK1-mCherry","pPGK1","mCherry","mCh-7","tRPS3_modE","tRPS3","modE","BioRep1","1",-1.245,2.37018554188316,FALSE,FALSE
"pPGK1-mCherry-tRPS3_modE","pPGK1-mCherry","pPGK1","mCherry","mCh-7","tRPS3_modE","tRPS3","modE","BioRep2","1",-0.914999999999999,1.88556907183648,FALSE,FALSE
